delivery_id,pickup_lat,pickup_lon,pickup_zipcode,dropoff_lat,dropoff_lon,dropoff_zipcode
1397309.0,40.730340182,-73.9839935303,10003,40.7631713372,-73.9663593178,10065
1460699.0,40.6753166,-73.9885326,11215,40.698193,-73.984208,11201
1399321.0,40.717006,-73.956565,11211,40.7205817,-73.9623624,11249
1390257.0,40.7246345744,-73.9984023571,10012,40.7677253,-73.9915642,10019
1480763.0,40.721323187,-74.009732008,10013,40.7028941978,-73.9855384569,11201
1420966.0,40.7261096571,-74.0024918632,10012,40.7093232,-74.0158665,10280
1286764.0,40.7851600433,-73.9769164738,10024,40.800023,-73.971317,10025
1458041.0,40.740784,-74.000721,10011,40.73357,-74.0065899,10014
1402861.0,40.7326086672,-73.997261313,10011,40.7190176,-73.9855386,10002
1294429.0,40.7112552473,-73.9614426247,11211,40.701183,-73.928499,11206
1435631.0,40.757005,-73.976151,10017,40.755046463,-73.971461716,10017
1375520.0,40.7291362344,-73.9869715129,10003,40.7363529,-73.9843794,10003
1314550.0,40.7320637606,-73.9961546659,10003,40.7675817868,-73.9837041751,10019
1287603.0,40.7167257648,-74.0082506455,10013,40.723324,-73.991335,10002
1273784.0,40.757653391,-73.970649026,10022,40.7715363,-73.9506762,10075
1486025.0,40.8025496096,-73.95023268,10026,40.798558,-73.93488,10035
1416043.0,40.723019825,-73.995854,10012,40.7188211108,-73.9828056191,10002
1468364.0,40.7223070664,-73.987351656,10002,40.7235314,-73.9823242,10009
1294451.0,40.72951,-74.000865,10012,40.7321662,-73.9886273,10003
1355600.0,40.7231283099,-74.0020608902,10012,40.7073297774,-74.0044443284,10038
1458715.0,40.723955,-73.991829,10002,40.7187606796,-74.002535891,10013
1466413.0,40.7687897053,-73.9852211016,10019,40.7672065,-73.9841974,10019
1356657.0,40.7247436422,-73.9986615555,10012,40.7244144,-73.9913664,10003
1312898.0,40.7613,-73.97307,10022,40.702534,-74.013126,10004
1280978.0,40.744607141,-73.9907419682,10010,40.7633199,-73.9938087,10036
1467907.0,40.7317954706,-73.9856725931,10003,40.7374716,-73.9922059,10003
1482406.0,40.7279050546,-73.9877634971,10003,40.7483335,-73.9809404,10016
1460008.0,40.7213537497,-73.997525294,10012,40.7320395,-73.9955607,10003
1281672.0,40.7903997576,-73.9747125594,10024,40.7254949937,-74.009710123,10013
1333675.0,40.74437,-73.99628,10011,40.7390799337,-73.9936064294,10011
1332534.0,40.7247545,-73.9931457,10012,40.7434935,-73.9918672,10010
1469623.0,40.7714912475,-73.9563341451,10075,40.8089292,-73.9613646,10027
1466071.0,40.72434,-73.99096,10003,40.7213902644,-73.9934408562,10002
1409918.0,40.7271708,-73.9885098,10003,40.741234,-74.000565,10011
1356155.0,40.7226347892,-73.9953503099,10012,40.7241312677,-73.9999303466,10012
1483068.0,40.7719618745,-73.9826202393,10023,40.7654964,-73.9631442,10065
1300462.0,40.7784451483,-73.9604668581,10028,40.7436173,-74.0064004,10011
1336706.0,40.7318442507,-73.9838647842,10003,40.7145174802,-74.0070190819,10007
1424346.0,40.721323187,-74.009732008,10013,40.7297282,-74.0047685,10014
1336187.0,40.7261096571,-74.0024918632,10012,40.735797,-74.000366,10011
